wvl;fwhm
410.726820;3.7794737
413.634090;3.7794737
416.541350;3.7794341
419.448620;3.7794341
422.355890;3.7794737
425.263160;3.7794341
428.170430;3.7794737
431.077690;3.7794341
433.984960;3.7794341
436.892230;3.7794737
439.799500;3.7794341
442.706770;3.7794341
445.614040;3.7794737
448.521300;3.7794341
451.428570;3.7794341
454.335840;3.7794737
457.243110;3.7794341
460.150380;3.7794737
463.057640;3.7794341
465.964910;3.7794341
468.872180;3.7794737
471.779450;3.7794341
474.686720;3.7794341
477.593980;3.7794737
480.501250;3.7794341
483.408520;3.7794341
486.315790;3.7794737
489.223060;3.7794341
492.130330;3.7794737
495.037590;3.7794341
497.944860;3.7794341
500.852130;3.7794737
503.759400;3.7794341
506.666670;3.7794341
509.573940;3.7794737
512.481200;3.7794341
515.388470;3.7794737
518.295740;3.7793944
521.203010;3.7794737
524.110280;3.7794737
527.017540;3.7793944
529.924810;3.7794737
532.832080;3.7794737
535.739350;3.7794737
538.646620;3.7793944
541.553890;3.7794737
544.461150;3.7793944
547.368420;3.7794737
550.275690;3.7794737
553.182960;3.7794737
556.090230;3.7793944
558.997490;3.7794737
561.904760;3.7794737
564.812030;3.7793944
567.719300;3.7794737
570.626570;3.7794737
573.533830;3.7793944
576.441100;3.7794737
579.348370;3.7794737
582.255640;3.7793944
585.162910;3.7794737
588.070170;3.7794737
590.977440;3.7793944
593.884710;3.7794737
596.791980;3.7794737
599.699250;3.7794737
602.606520;3.7793944
605.513780;3.7794737
608.421050;3.7793944
611.328320;3.7794737
614.235590;3.7794737
617.142860;3.7794737
620.050120;3.7793944
622.957390;3.7794737
625.864660;3.7794737
628.771930;3.7793944
631.679200;3.7794737
634.586470;3.7794737
637.493730;3.7793944
640.401000;3.7794737
643.308270;3.7794737
646.215540;3.7793944
649.122810;3.7794737
652.030080;3.7794737
654.937340;3.7793944
657.844610;3.7794737
660.751880;3.7794737
663.659150;3.7794737
666.566420;3.7793944
669.473680;3.7794737
672.380950;3.7793944
675.288220;3.7794737
678.195490;3.7794737
681.102760;3.7794737
684.010030;3.7793944
686.917290;3.7794737
689.824560;3.7794737
692.731830;3.7793944
695.639100;3.7794737
698.546370;3.7794737
701.453630;3.7793944
704.360900;3.7794737
707.268170;3.7794737
710.175440;3.7793944
713.082710;3.7794737
715.989970;3.7794737
718.897240;3.7793944
721.804510;3.7794737
724.711780;3.7794737
727.619050;3.7794737
730.526320;3.7793944
733.433580;3.7794737
736.340850;3.7793944
739.248120;3.7794737
742.155390;3.7794737
745.062660;3.7794737
747.969920;3.7793944
750.877190;3.7794737
753.784460;3.7794737
756.691730;3.7793944
759.599000;3.7794737
762.506270;3.7794737
765.413530;3.7793944
768.320800;3.7794737
771.228070;3.7794737
774.135340;3.7793944
777.042610;3.7794737
779.949880;3.7794737
782.857140;3.7793944
785.764410;3.7794737
788.671680;3.7794737
791.578950;3.7794737
794.486220;3.7793944
797.393480;3.7794737
800.300750;3.7793944
803.208020;3.7794737
806.115290;3.7794737
809.022560;3.7794737
811.929830;3.7793944
814.837090;3.7794737
817.744360;3.7794737
820.651630;3.7793944
823.558900;3.7794737
826.466170;3.7794737
829.373430;3.7793944
832.280700;3.7794737
835.187970;3.7794737
838.095240;3.7793944
841.002510;3.7794737
843.909770;3.7794737
846.817040;3.7793944
849.724310;3.7794737
852.631580;3.7794737
855.538850;3.7794737
858.446110;3.7793944
861.353380;3.7794737
864.260650;3.7793944
867.167920;3.7794737
870.075190;3.7794737
872.982460;3.7794737
875.889720;3.7793944
878.796990;3.7794737
881.704260;3.7794737
884.611530;3.7793944
887.518800;3.7794737
890.426060;3.7794737
893.333330;3.7793944
896.240600;3.7794737
899.147870;3.7794737
902.055140;3.7793944
904.962410;3.7794737
907.869670;3.7794737
910.776940;3.7793944
913.684210;3.7794737
916.591480;3.7794737
919.498750;3.7794737
922.406020;3.7793944
925.313280;3.7794737
928.220550;3.7793944
931.127820;3.7794737
934.035090;3.7794737
936.942360;3.7794737
939.849620;3.7793944
942.756890;3.7794737
945.664160;3.7794737
948.571430;3.7793944
951.478700;3.7794737
970.000000;6.6521848
975.117060;6.6521848
980.234110;6.6521848
985.351170;6.6521848
990.468230;6.6521055
995.585280;6.6521848
1000.702300;6.6521055
1005.819400;6.6522642
1010.936500;6.6522642
1016.053500;6.6521055
1021.170600;6.6521848
1026.287600;6.6521055
1031.404700;6.6521848
1036.521700;6.6521848
1041.638800;6.6521848
1046.755900;6.6521848
1051.872900;6.6521848
1056.990000;6.6521848
1062.107000;6.6521848
1067.224100;6.6521848
1072.341100;6.6520261
1077.458200;6.6523435
1082.575300;6.6521848
1087.692300;6.6520261
1092.809400;6.6523435
1097.926400;6.6520261
1103.043500;6.6521848
1108.160500;6.6521848
1113.277600;6.6521848
1118.394600;6.6521848
1123.511700;6.6521848
1128.628800;6.6521848
1133.745800;6.6521848
1138.862900;6.6521848
1143.979900;6.6520261
1149.097000;6.6523435
1154.214000;6.6520261
1159.331100;6.6521848
1164.448200;6.6523435
1169.565200;6.6520261
1174.682300;6.6521848
1179.799300;6.6521848
1184.916400;6.6521848
1190.033400;6.6521848
1195.150500;6.6521848
1200.267600;6.6521848
1205.384600;6.6521848
1210.501700;6.6521848
1215.618700;6.6520261
1220.735800;6.6523435
1225.852800;6.6520261
1230.969900;6.6521848
1236.087000;6.6523435
1241.204000;6.6520261
1246.321100;6.6521848
1251.438100;6.6521848
1256.555200;6.6521848
1261.672200;6.6521848
1266.789300;6.6521848
1271.906400;6.6521848
1277.023400;6.6521848
1282.140500;6.6521848
1287.257500;6.6520261
1292.374600;6.6523435
1297.491600;6.6520261
1302.608700;6.6521848
1307.725800;6.6523435
1312.842800;6.6520261
1317.959900;6.6523435
1323.076900;6.6520261
1328.194000;6.6521848
1333.311000;6.6521848
1338.428100;6.6521848
1343.545200;6.6521848
1348.662200;6.6521848
1353.779300;6.6521848
1358.896300;6.6520261
1364.013400;6.6523435
1369.130400;6.6520261
1374.247500;6.6523435
1379.364500;6.6520261
1384.481600;6.6521848
1389.598700;6.6523435
1394.715700;6.6520261
1399.832800;6.6521848
1404.949800;6.6521848
